action,name,station_type,lat,lon,old_gmz,new_gmz,review_status,notes
add,Mandeville Lakefront - XMVL Weatherflow,mesonet,30.3612,-90.0887,GMZ530,,unreviewed,
add,Mid Lake Pontchartrain Causeway - XPTN Weatherflow,mesonet,30.1999,-90.1231,GMZ530,,unreviewed,
add,Lakefront Airport - XLKF Weatherflow,mesonet,30.0425,-90.0223,GMZ530,,unreviewed,
add,SWBNO Pump station Little Woods - Weatherstem,mesonet,30.0587,-89.9666,GMZ530,,unreviewed,
add,Municipal Yacht Harbor - Weatherstem,mesonet,30.0284,-90.1156,GMZ530,,unreviewed,
add,Keesler AFB,AWOS,30.4057,-88.9280,GMZ532,,unreviewed,
add,Gulport - XGPT Weatherflow,mesonet,30.3597,-89.1095,GMZ532,,unreviewed,
add,Biloxi - XBIX Weatherflow,mesonet,30.4350,-88.9769,GMZ532,,unreviewed,
add,Ship Island - XSHI Weatherflow,mesonet,30.2308,-88.9816,GMZ532,,unreviewed,
add,Bayou Bienvenue - XBYU Weatherflow,mesonet,30.0025,-89.9025,GMZ534,,unreviewed,
add,SWBNO Pump station Bayou Sauvage - Weatherstem,mesonet,30.0298,-89.8680,GMZ534,,unreviewed,CHECK LAT SIGN - likely should be positive
add,Venetian Isles NOFD Engine 31 - Weatherstem,mesonet,30.0654,-89.8136,GMZ534,,unreviewed,
add,Muincipal Training Academy East - Weatherstem,mesonet,30.0173,-89.9280,GMZ534,,unreviewed,
add,Chandeleur Sound,,29.9200,-89.1000,GMZ536,,unreviewed,
add,Bay Gardene near Point-A-LA-Hache,USGS,29.5858,-89.6061,GMZ538,,unreviewed,
add,Dulac - XDUL Weatherflow,mesonet,29.3488,-90.7321,GMZ550,,unreviewed,
add,LOPL1 - LA Offshore Oil Port,AWOS,28.8850,-90.0240,GMZ552,,unreviewed,
add,PSTL1 - SW Pass Pilot Station,CMAN,28.9321,-89.4070,GMZ552,,unreviewed,
add,PILL1 - Pilottown,CMAN,29.1780,-89.2580,GMZ555,,unreviewed,
add,East of Chandeleur Island,,29.9200,-88.7000,GMZ557,,unreviewed,
add,KPZZ - Ship Shoal 241 Platform,AWOS,28.4333,-91.0333,GMZ570,,unreviewed,
add,KCYD - Mississippi Canyon 807,AWOS,28.1700,-89.2200,GMZ572,,unreviewed,
add,KMTK - South Pass 89E-B,AWOS,28.4184,-89.2345,GMZ572,,unreviewed,
add,KGLX Mississippi Canyon 724,AWOS,28.2347,-88.9843,GMZ575,,unreviewed,
add,KDSF - Mississippi Canyon 650,AWOS,28.3500,-88.2667,GMZ575,,unreviewed,
change,New Canal Station - NWCL1,NOS,30.0270,-90.1134,GMZ530,,unreviewed,
change,Petit Bois Island - PTBM6,NOS,30.2130,-88.5050,GMZ532,,unreviewed,
change,Shell Beach - SHBL1,CMAN,29.8681,-89.6732,GMZ534,,unreviewed,
change,Pilots Station - PSTL1,AWOS,28.9321,-89.4070,GMZ550,,unreviewed,
change,Burlwood C-MAN - BURL1,CMAN,28.9059,-89.4287,GMZ552,,unreviewed,
change,LUKE OFFSHORE TEST PLATFORM,n/a,29.2070,-88.2370,GMZ577,,unreviewed,
do_not_change,Lakefront Airport - KNEW,mesonet,30.0500,-90.0300,GMZ530,,unreviewed,
do_not_change,Bay Waveland Yacht Club - WYCM6,mesonet,30.3263,-89.3258,GMZ532,,unreviewed,
do_not_change,Grand Bay Reserve - GDXM6,mesonet,30.3600,-88.4200,GMZ532,,unreviewed,
do_not_change,Grand Isle - GISL1,NOS,29.2647,-89.9576,GMZ552,,unreviewed,
